A-1	Institution name changes between FY 2023 and FY 2024 Higher Education Research and Development Survey
A-2	Total and federally financed higher education R&D expenditures at surveyed institutions reporting less than $150,000 in separately accounted-for R&D expenditures: FY 2024
A-3	Institutions surveyed for the Higher Education Research and Development Survey, by highest degree granted and survey population: FYs 2019–24
A-4	Response rates for the Higher Education Research and Development Survey, by survey population, highest degree granted, and institutional control: FY 2024
A-5	Response rates for the Higher Education Research and Development Survey, by survey form and question: FY 2024
A-6	Imputed amounts for total higher education R&D expenditures, by survey population and highest degree granted: FY 2024
A-7	Imputed amounts for total higher education R&D expenditures, by survey population and source of funds: FY 2024
A-8	Imputed amounts for higher education R&D expenditures from foreign sources, by source of funds: FY 2024
A-9	Imputed amounts for externally financed higher education R&D expenditures, by type of agreement: FY 2024
A-10	Imputed amounts for higher education R&D expenditures in a medical school, by institutional control: FY 2024
A-11	Imputed amounts for higher education R&D expenditures in clinical trials, by source of funds: FY 2024
A-12	Imputed amounts for total and federally financed higher education R&D expenditures, by type of R&D: FY 2024
A-13	Imputed amounts for total and federally financed higher education R&D expenditures received as a subrecipient, by survey population and type of pass-through entity: FY 2024
A-14	Imputed amounts for total and federally financed higher education R&D expenditures passed through, by survey population and type of subrecipient: FY 2024
A-15	Imputed amounts for total and federally financed higher education R&D expenditures at institutions in the standard form population, by R&D field: FY 2024
A-16	Imputed amounts for total and federally financed higher education R&D expenditures at institutions in the short form population, by R&D field: FY 2024
A-17	Imputed amounts for higher education R&D expenditures, by type of cost: FY 2024
A-18	Imputed amounts for total and federally financed higher education R&D equipment expenditures, by R&D field: FY 2024
A-19	Imputed amounts for headcount of R&D personnel, by sex and personnel function: FY 2024
A-20	Imputed amounts for FTEs, by personnel function: FY 2024
A-21	Federally financed higher education R&D expenditures from federal agencies not specified in Question 9: FY 2024
A-22	Response summary for Question 13, capitalization thresholds, by highest degree granted, institutional control, and capitalization threshold: FY 2024
A-23	Higher Education Research and Development Survey data table crosswalk: FY 2023 vs. FY 2024
1	Higher education R&D expenditures, by source of funds: FYs 1953–2024
6	Total and federally financed higher education R&D expenditures at higher education institutions in the standard form and short form survey populations, ranked by FY 2024 total R&D expenditures: FYs 2021–24
8	Higher education R&D expenditures at institutions in the standard form survey population, by source of funds and type of R&D: FYs 2010–24
9	Higher education R&D expenditures at institutions in the standard form survey population, by R&D field: FYs 2010–24
16	Federally financed higher education R&D expenditures at institutions in the standard form survey population, ranked by FY 2024 R&D expenditures: FYs 2010–24
2	Higher education R&D expenditures, by source of funds and survey population: FYs 2010–24
3	Higher education R&D expenditures, by source of funds, R&D field, and survey population: FY 2024
4	Higher education R&D expenditures at higher education institutions in the standard form and short form survey populations, ranked by all R&D expenditures, by source of funds: FY 2024
5	Higher education R&D expenditures at institutions in the standard form and short form survey populations, by state, institutional control, system, and institution: FY 2024
7	Total and federally financed higher education R&D expenditures at institutions in the standard form survey population, by type of R&D: FYs 1953–2024
10	Higher education R&D expenditures at institutions in the standard form survey population, by source of funds and R&D field: FY 2024
11	Federally financed higher education R&D expenditures at institutions in the standard form survey population, by federal agency and R&D field: FY 2024
12	Higher education R&D expenditures at institutions in the standard form survey population, by type of cost, highest degree granted, and institutional control: FYs 2010–24
13	Higher education R&D expenditures at institutions in the standard form survey population, ranked by FY 2024 R&D expenditures: FYs 2010–24
14	Higher education R&D expenditures at institutions in the standard form survey population, ranked by all R&D expenditures, by source of funds: FY 2024
15	Higher education R&D expenditures at institutions in the standard form survey population, ranked by all R&D expenditures, by R&D field: FY 2024
17	Federally financed higher education R&D expenditures at institutions in the standard form survey population, ranked by all federal R&D expenditures, by R&D field: FY 2024
18	Federally financed higher education R&D expenditures at institutions in the standard form survey population, ranked by all federal R&D expenditures, by federal agency: FY 2024
19	Higher education R&D expenditures at all institutions in the standard form survey population, ranked by all non-medical school R&D expenditures: FY 2024
20	Higher education R&D expenditures at public institutions in the standard form survey population, ranked by all R&D expenditures, by source of funds: FY 2024
21	Total and federally financed higher education R&D expenditures at institutions in the standard form survey population in engineering, ranked by FY 2024 total: FYs 2021–24
22	Higher education R&D expenditures at institutions in the standard form survey population in engineering subfields, ranked by all FY 2024 engineering R&D: FYs 2022–24 and by subfield for FY 2024
23	Higher education R&D expenditures at institutions in the standard form survey population in non-science and engineering fields, ranked by all FY 2024 non-S&E fields: FYs 2022–24 and by subfield for FY 2024
24	Federally financed higher education R&D expenditures at institutions in the standard form survey population, financed by the Department of Defense, ranked by DOD R&D expenditures, by R&D field: FY 2024
25	Higher education R&D expenditures at institutions in the standard form survey population, by state: FYs 2010–24
26	Headcount and FTEs of R&D personnel at higher education institutions in the standard form survey population, by personnel function and sex: FYs 2020–24
27	Headcount and FTEs of R&D personnel at higher education institutions in the standard form survey population, by state, institutional control, institution, and personnel function: FY 2024
28	Higher education R&D expenditures at institutions in the standard form survey population funded by state and local governments, ranked by all R&D expenditures, by R&D field: FY 2024
29	Higher education R&D expenditures at institutions in the standard form survey population funded by institutional funds, ranked by all R&D expenditures, by R&D field: FY 2024
30	Higher education R&D expenditures at institutions in the standard form survey population funded by businesses, ranked by all R&D expenditures, by R&D field: FY 2024
31	Higher education R&D expenditures at institutions in the standard form survey population funded by nonprofit organizations, ranked by all R&D expenditures, by R&D field: FY 2024
32	Higher education R&D expenditures at institutions in the standard form survey population funded by all other sources, ranked by all R&D expenditures, by R&D field: FY 2024
33	Total and federally financed higher education R&D expenditures at institutions in the standard form survey population in the computer and information sciences, ranked by FY 2024 total: FYs 2021–24
34	Higher education R&D expenditures at institutions in the standard form survey population in the geosciences, atmospheric sciences, and ocean sciences, ranked by all FY 2024 geosciences, atmospheric sciences, and ocean sciences: FYs 2021–24
35	Federally financed higher education R&D expenditures at institutions in the standard form survey population in the geosciences, atmospheric sciences, and ocean sciences, ranked by all FY 2024 geosciences, atmospheric sciences, and ocean sciences: FYs 2021–24
36	Higher education R&D expenditures at institutions in the standard form survey population in the life sciences, ranked by all FY 2024 life sciences: FYs 2021–24
37	Federally financed higher education R&D expenditures at institutions in the standard form survey population in the life sciences, ranked by all FY 2024 life sciences: FYs 2021–24
38	Total and federally financed higher education R&D expenditures at institutions in the standard form survey population in the agricultural sciences and natural resources and conservation, ranked by FY 2024 agricultural sciences and natural resources conservation total: FYs 2021–24
39	Total and federally financed higher education R&D expenditures at institutions in the standard form survey population in the biological and biomedical sciences, ranked by FY 2024 total: FYs 2021–24
40	Total and federally financed higher education R&D expenditures at institutions in the standard form survey population in the health sciences, ranked by FY 2024 total: FYs 2021–24
41	Total and federally financed higher education R&D expenditures at institutions in the standard form survey population in mathematics and statistics, ranked by FY 2024 total: FYs 2021–24
42	Higher education R&D expenditures at institutions in the standard form survey population in the physical sciences, ranked by all FY 2024 physical sciences: FYs 2021–24
43	Federally financed higher education R&D expenditures at institutions in the standard form survey population in the physical sciences, ranked by all FY 2024 physical sciences: FYs 2021–24
44	Total and federally financed higher education R&D expenditures at institutions in the standard form survey population in chemistry, ranked by FY 2024 total: FYs 2021–24
45	Total and federally financed higher education R&D expenditures at institutions in the standard form survey population in physics, ranked by FY 2024 total: FYs 2021–24
46	Total and federally financed higher education R&D expenditures at institutions in the standard form survey population in psychology, ranked by FY 2024 total: FYs 2021–24
47	Higher education R&D expenditures at institutions in the standard form survey population in the social sciences, ranked by all FY 2024 social sciences: FYs 2021–24
48	Federally financed higher education R&D expenditures at institutions in the standard form survey population in the social sciences, ranked by all FY 2024 social sciences: FYs 2021–24
49	Federally financed higher education R&D expenditures at institutions in the standard form survey population in engineering subfields, ranked by all FY 2024 engineering R&D: FYs 2022–24
50	Federally financed higher education R&D expenditures at institutions in the standard form survey population, financed by the Department of Energy, ranked by DOE R&D expenditures, by R&D field: FY 2024
51	Federally financed higher education R&D expenditures at institutions in the standard form survey population, financed by the Department of Health and Human Services, ranked by HHS R&D expenditures, by R&D field: FY 2024
52	Federally financed higher education R&D expenditures at institutions in the standard form survey population, financed by the National Aeronautics and Space Administration, ranked by NASA R&D expenditures, by R&D field: FY 2024
53	Federally financed higher education R&D expenditures at institutions in the standard form survey population, financed by the National Science Foundation, ranked by NSF R&D expenditures, by R&D field: FY 2024
54	Federally financed higher education R&D expenditures at institutions in the standard form survey population, financed by the Department of Agriculture, ranked by USDA R&D expenditures, by R&D field: FY 2024
55	Federally financed higher education R&D expenditures at institutions in the standard form survey population, financed by all other federal agencies, ranked by other agency R&D expenditures, by R&D field: FY 2024
